kind,feature,coef
R-glm,(Intercept),-0.8331183573283679
R-glm,x0,0.3121214927531122
R-glm,x1,-0.2770210846722767
R-glm,x2,0.24553003051715366
R-glm,x3,-0.17060028939870134
R-glm,x4,-43.431849947095486
R-glm,x5,11.404786638478631
R-glm,x7,-0.440056334845144
R-glm,x9,-0.06926200149758467
R-glmnet,(Intercept),0.49007767204080205
R-glmnet,x0,0.0033807487619097183
R-glmnet,x1,-0.01426292551835844
R-glmnet,x2,0.017079002367150584
R-glmnet,x3,0.002728621293682036
R-glmnet,x4,-0.3914634607316647
R-glmnet,x5,0.031292761923341975
R-glmnet,x6,0.2513061384626724
R-glmnet,x7,-0.03318850855680657
R-glmnet,x8,0.09431707391060071
R-glmnet,x9,-0.006200793065278488
